Company,Location_HQ,Industry,Laid_Off_Count,Date,Source,Funds_Raised,Stage,Date_Added,Country,Percentage,List_of_Employees_Laid_Off
Livspace,Bengaluru,Retail,100,17-03-2023 00:00,https://inc42.com/buzz/exclusive-home-decor-unicorn-livspace-lays-off-100-employees/,431,Series F,20-03-2023 03:46,India,,Unknown
Candor Technology,Atlanta,Real Estate,,17-03-2023 00:00,https://www.housingwire.com/articles/mortgage-ai-firm-candor-conducts-layoffs/,23,Unknown,17-03-2023 23:48,United States,,Unknown
Coherent,SF Bay Area,Manufacturing,108,16-03-2023 00:00,https://www.siliconvalley.com/2023/03/16/coherent-fremont-job-cut-tech-layoff-google-facebook-twitter-economy/,,Post-IPO,17-03-2023 04:11,United States,,Unknown
Runtastic,Linz,Fitness,70,16-03-2023 00:00,"https://www.nachrichten.at/wirtschaft/runtastic-streicht-70-von-250-stellen-in-oesterreich;art15,3804088a",,Acquired,16-03-2023 15:14,Austria,0.28,Unknown
Course Hero,SF Bay Area,Education,42,16-03-2023 00:00,https://techcrunch.com/2023/03/16/course-hero-edtech-unicorn-last-valued-at-3-6-billion-conducts-layoffs/,477,Series C,16-03-2023 21:24,United States,0.15,Unknown
Leafly,Seattle,Retail,40,16-03-2023 00:00,https://www.geekwire.com/2023/leafly-reportedly-lays-off-employees-for-second-time-in-a-year/,71,Post-IPO,17-03-2023 00:24,United States,0.21,Unknown
Bonusly,Boulder,HR,,16-03-2023 00:00,https://www.bizjournals.com/denver/news/2023/03/16/boulder-software-startup-bonusly-layoffs.html,31,Series B,17-03-2023 23:50,United States,,Unknown
Freshworks,SF Bay Area,Support,,16-03-2023 00:00,https://www.moneycontrol.com/news/business/freshworks-undertakes-another-round-of-layoffs-10259901.html,484,Post-IPO,16-03-2023 15:15,United States,0.02,Unknown
Klaviyo,Boston,Marketing,140,15-03-2023 00:00,https://techcrunch.com/2023/03/15/klaviyo-conducts-company-wide-layoffs/,778,Unknown,16-03-2023 01:12,United States,,Unknown
Dukaan,Bengaluru,Retail,56,15-03-2023 00:00,https://inc42.com/buzz/exclusive-lightspeed-backed-dukaan-lays-off-30-workforce/,17,Series A,16-03-2023 15:16,India,0.3,Unknown
Boxed,New York City,Retail,32,15-03-2023 00:00,https://www.crainsnewyork.com/technology/e-commerce-firm-boxedcom-shed-25-staff-it-looks-buyer,365,Post-IPO,17-03-2023 15:54,United States,0.25,Unknown
TradeWindow,Auckland,Finance,25,15-03-2023 00:00,https://www.nbr.co.nz/investment/tradewindow-to-cut-a-third-of-workforce/,24,Series B,15-03-2023 15:26,New Zealand,0.3,Unknown
Hometap,Boston,Real Estate,,15-03-2023 00:00,https://www.bizjournals.com/boston/news/2023/03/15/hometap-cuts-jobs-in-sales-and-operations.html,172,Unknown,18-03-2023 16:11,United States,,Unknown
Meta,SF Bay Area,Consumer,10000,14-03-2023 00:00,https://about.fb.com/news/2023/03/mark-zuckerberg-meta-year-of-efficiency/,26000,Post-IPO,14-03-2023 15:19,United States,,Unknown
Fetch,Madison,Retail,100,14-03-2023 00:00,https://www.theinformation.com/articles/softbank-backed-fetch-rewards-cuts-staff-amid-shopping-slowdown?rc=yjxoek,581,Series E,14-03-2023 20:25,United States,0.1,Unknown
Anchorage Digital,SF Bay Area,Crypto,75,14-03-2023 00:00,https://www.theinformation.com/briefings/crypto-bank-anchorage-digital-lays-off-20-of-staff,487,Series D,15-03-2023 15:36,United States,0.2,Unknown
Avidbots,Kitchener,Hardware,50,14-03-2023 00:00,https://www.therecord.com/business/2023/03/14/very-difficult-decision-kitchener-robotics-firm-avidbots-confirms-layoffs.html,106,Series C,17-03-2023 00:25,Canada,0.14,Unknown
Samsung,SF Bay Area,Hardware,30,14-03-2023 00:00,https://www.zeebiz.com/companies/news-samsung-layoffs-2023-south-korean-giant-cuts-3-jobs-at-us-chip-subsidiary-225788,,Post-IPO,15-03-2023 15:42,United States,,Unknown
Kaleidoscope,Minneapolis,Finance,15,14-03-2023 00:00,https://www.bizjournals.com/twincities/inno/stories/news/2023/03/14/minneapolis-fintech-startup-layoff-kaleidoscope.html,16,Series A,17-03-2023 00:22,United States,0.3,Unknown
GoTo Group,Jakarta,Transportation,600,10-03-2023 00:00,https://www.reuters.com/technology/indonesia-tech-firm-goto-announces-layoffs-impacts-around-600-roles-statement-2023-03-10/,1300,Post-IPO,10-03-2023 15:57,Indonesia,,Unknown
Cookpad,Tokyo,Consumer,80,10-03-2023 00:00,https://www.nikkei.com/article/DGXZQOUC109F70Q3A310C2000000/,,Unknown,15-03-2023 15:37,Japan,,Unknown
Xero,Wellington,Finance,800,09-03-2023 00:00,https://www.stuff.co.nz/business/300826021/xero-plans-to-cut-up-to-800-jobs,681,Post-IPO,09-03-2023 06:03,New Zealand,0.15,https://docs.google.com/spreadsheets/d/1mmQOBZmL0K9lsEgRp-EeRKwgEftuhehj6wEak-JdgWA/edit#gid=0
Shopee,Jakarta,Food,200,09-03-2023 00:00,https://www.techinasia.com/shopee-conducts-new-layoffs-in-indonesia,,Unknown,10-03-2023 15:58,Indonesia,,Unknown
Gopuff,Philadelphia,Food,100,09-03-2023 00:00,https://www.bloomberg.com/news/articles/2023-03-09/gopuff-fires-2-of-workforce-in-latest-round-of-job-cuts#xj4y7vzkg,3400,Series H,10-03-2023 05:21,United States,0.02,Unknown
Wave Financial,Toronto,Finance,50,09-03-2023 00:00,https://thelogic.co/briefing/fintech-wave-financial-lays-off-50-employees/,79,Acquired,10-03-2023 05:17,Canada,,Unknown
Morning Brew,New York City,Media,40,09-03-2023 00:00,https://www.axios.com/2023/03/09/morning-brew-lays-off-40-people,,Acquired,09-03-2023 19:38,United States,,Unknown
Bonusly,Boulder,HR,,09-03-2023 00:00,https://www.linkedin.com/posts/victoriayang_community-opentowork-people-activity-7039726482155352064-sIoK/,31,Series B,10-03-2023 15:56,United States,,Unknown
Neoleukin Therapeutics,Seattle,Healthcare,,09-03-2023 00:00,https://www.geekwire.com/2023/shares-of-neoleukin-therapeutics-spike-after-announcing-layoffs-and-potential-sale-or-merger/,157,Post-IPO,13-03-2023 20:11,United States,0.7,Unknown
Toucan,Los Angeles,Education,,09-03-2023 00:00,https://www.linkedin.com/posts/taylornieman_some-news-coming-out-of-the-toucan-nest-today-activity-7039679436387995648-uFyA/,,Series A,10-03-2023 05:20,United States,1,Unknown
Wattpad,Toronto,Unknown,42,08-03-2023 00:00,https://betakit.com/wattpad-lays-off-15-percent-of-workforce/,117,Acquired,09-03-2023 06:05,Canada,0.15,Unknown
Appcues,Boston,Data,,08-03-2023 00:00,https://www.bizjournals.com/boston/news/2023/03/08/appcues-lays-off-nearly-15-of-workforce.html,52,Series B,11-03-2023 18:07,United States,0.15,Unknown
Pristyn Care,Gurugram,Healthcare,300,07-03-2023 00:00,https://yourstory.com/2023/03/sequoia-backed-pristyn-care-lays-off-300-employees-shuts-medical-tourism-vertical,177,Series E,07-03-2023 15:44,India,0.15,Unknown
Zwift,Los Angeles,Fitness,80,07-03-2023 00:00,https://www.dcrainmaker.com/2023/03/zwift-layoffs-announces-reducing-workforce.html,619,Series C,08-03-2023 05:06,United States,0.15,Unknown
Catch,New York City,Finance,,07-03-2023 00:00,https://catch.co/thank-you/,18,Series A,07-03-2023 15:43,United States,1,Unknown
Take-Two Interactive,New York City,Consumer,,07-03-2023 00:00,https://www.gamespot.com/articles/gta-parent-company-confirms-layoffs-primarily-impacting-non-development-positions/1100-6512117/,2700,Post-IPO,08-03-2023 05:08,United States,,Unknown
Zulily,Seattle,Retail,,07-03-2023 00:00,https://www.geekwire.com/2023/zulily-lays-off-employees-for-the-second-time-in-a-year-amid-revenue-declines/,194,Acquired,10-03-2023 05:22,United States,,Unknown
Atlassian,Sydney,Other,500,06-03-2023 00:00,https://www.cnbc.com/2023/03/06/atlassian-cuts-5percent-of-headcount-as-it-focuses-on-high-priority-areas.html,210,Post-IPO,07-03-2023 00:12,Australia,0.05,https://docs.google.com/spreadsheets/d/1-QzKH6l-a6rrW9rBAZuVWgMgVi_-8TgbQhNVe-s8IEQ/edit#gid=0
SiriusXM,New York City,Media,475,06-03-2023 00:00,https://variety.com/2023/digital/news/siriusxm-layoffs-465-employees-1235543907/,525,Post-IPO,07-03-2023 00:15,United States,0.08,Unknown
Alerzo,Ibadan,Retail,400,06-03-2023 00:00,https://techcabal.com/2023/03/06/alerzo-lays-off-900/,16,Series B,07-03-2023 01:30,Nigeria,,Unknown
UKG,Miami,HR,265,06-03-2023 00:00,https://www.bizjournals.com/boston/news/2023/03/09/ukg-cuts-over-260-positions-worldwide.html,,Unknown,08-03-2023 15:39,United States,,Unknown
UpGrad,Mumbai,Education,120,06-03-2023 00:00,https://www.financialexpress.com/industry/upgrad-lays-off-30-workforce-at-subsidiary/3000299/lite/,631,Unknown,07-03-2023 01:26,India,,Unknown
Ankorstore,Paris,Retail,,06-03-2023 00:00,https://www.businessinsider.com/ankorstore-tiger-global-backed-startup-set-to-slash-roles-sources-say-2023-3,365,Series C,08-03-2023 15:36,France,,Unknown
Loft,Sao Paulo,Real Estate,340,03-03-2023 00:00,https://startups.com.br/demissoes/loft/,788,Unknown,03-03-2023 23:01,Brazil,0.15,Unknown
Embark Trucks,SF Bay Area,Transportation,230,03-03-2023 00:00,https://techcrunch.com/2023/03/03/embark-trucks-lays-off-workers-explores-liquidation-of-self-driving-truck-assets/,317,Post-IPO,03-03-2023 22:57,United States,0.7,Unknown
Lendi,Sydney,Real Estate,100,03-03-2023 00:00,https://www.theaustralian.com.au/business/financial-services/cbabacked-lendi-cuts-jobs-amid-slowing-home-loan-market/news-story/2c3af53306e8f7142076c19a9b2914bb?amp&nk=0a6e5860a1d2cd2b0ebc810544084b9b-1677884919,59,Unknown,03-03-2023 23:09,Australia,,Unknown
UserTesting,SF Bay Area,Marketing,63,03-03-2023 00:00,https://www.bizjournals.com/sanfrancisco/news/2023/03/03/usertesting-userzoom-thoma-bravo-layoffs-sunstone.html,152,Acquired,04-03-2023 00:59,United States,,Unknown
Airbnb,SF Bay Area,Travel,30,03-03-2023 00:00,https://www.bloomberg.com/news/articles/2023-03-03/airbnb-layoffs-hit-recruiting-staff-even-as-it-selectively-hires,6400,Post-IPO,04-03-2023 03:56,United States,,Unknown
Accolade,Seattle,Healthcare,,03-03-2023 00:00,https://www.bizjournals.com/seattle/news/2023/03/03/accolade-layoffs-reducing-office-footprint-seattle.html,458,Post-IPO,07-03-2023 01:19,United States,,Unknown
Indigo,Boston,Other,,03-03-2023 00:00,https://www.bizjournals.com/boston/news/2023/03/03/indigo-ag-layoffs-2023.html,1200,Series F,04-03-2023 00:48,United States,,Unknown
Zscaler,SF Bay Area,Security,177,02-03-2023 00:00,https://www.crn.com/news/security/zscaler-discloses-layoffs-for-3-percent-of-employees,148,Post-IPO,03-03-2023 22:59,United States,0.03,Unknown
MasterClass,SF Bay Area,Education,79,02-03-2023 00:00,https://www.bizjournals.com/sanfrancisco/news/2023/03/02/masterclass-yanka-layoffs-education-tech-celebs.html,461,Series E,04-03-2023 00:59,United States,,Unknown
Ambev Tech,Blumenau,Food,50,02-03-2023 00:00,https://omunicipioblumenau.com.br/economia-em-pauta-ambev-tech-de-blumenau-demite-50-funcionarios-e-interrompe-abertura-de-vagas/,,Acquired,04-03-2023 00:50,Brazil,,Unknown
Fittr,Pune,Fitness,30,02-03-2023 00:00,https://inc42.com/buzz/exclusive-fittr-lays-off-11-of-workforce-after-losses-pile-up/,13,Series A,03-03-2023 23:07,India,0.11,Unknown
CNET,SF Bay Area,Media,12,02-03-2023 00:00,https://www.theverge.com/2023/3/2/23622231/cnet-layoffs-ai-articles-seo-red-ventures,20,Acquired,04-03-2023 03:57,United States,0.1,Unknown
Comparis,Zurich,Finance,,02-03-2023 00:00,https://www.nzz.ch/finanzen/massenentlassung-bei-comparis-das-vergleichsportal-sieht-sich-als-opfer-der-finanzmarktaufsicht-ld.1728686?reduced=true,,Unknown,08-03-2023 15:37,Switzerland,0.1,Unknown
Flipkart,Bengaluru,Retail,,02-03-2023 00:00,https://economictimes.indiatimes.com/prime/technology-and-startups/inside-flipkarts-downsizing-drive-layoffs-meagre-pay-hikes-more-pips/primearticleshow/98342831.cms,12900,Acquired,07-03-2023 01:23,India,,Unknown
Kandela,Los Angeles,Consumer,,02-03-2023 00:00,https://therealdeal.com/la/2023/03/02/moving-concierge-startup-kandela-declares-bankruptcy/,,Acquired,05-03-2023 02:35,United States,1,Unknown
Orchard,New York City,Real Estate,,02-03-2023 00:00,https://www.linkedin.com/posts/orchardhomes_today-we-announced-the-sad-news-that-we-are-activity-7037112016125231106--GHj/,472,Series D,19-03-2023 03:32,United States,,https://docs.google.com/spreadsheets/d/11czpYSz5PdhmXHg0Vq_wuDQEMPLoZQ8I9cN5Qx53HZU/edit#gid=0
Truckstop.com,Boise,Logistics,,02-03-2023 00:00,https://www.freightwaves.com/news/size-of-layoffs-at-truckstop-com-unknown,,Acquired,04-03-2023 03:58,United States,,Unknown
Thoughtworks,Chicago,Other,500,01-03-2023 00:00,https://techcrunch.com/2023/03/01/thoughtworks-layoffs-economic-slowdown/,748,Post-IPO,02-03-2023 04:06,United States,0.04,Unknown
iFood,Sao Paulo,Food,355,01-03-2023 00:00,https://economia.uol.com.br/noticias/redacao/2023/03/01/ifood-demissao-funcionarios.htm,2100,Subsidiary,02-03-2023 04:13,Brazil,0.06,Unknown
Color Health,SF Bay Area,Healthcare,300,01-03-2023 00:00,https://www.beckershospitalreview.com/digital-health/color-health-lays-off-300-employees-amid-shift-away-from-covid-19-testing.html,482,Series E,03-03-2023 22:55,United States,,https://airtable.com/shrztJEMNaqMAUOyr/tbliqmZamSABWdDoP
Waymo,SF Bay Area,Transportation,209,01-03-2023 00:00,https://www.theinformation.com/articles/alphabets-robotaxi-unit-waymo-says-it-laid-off-8,5500,Subsidiary,02-03-2023 04:08,United States,0.08,Unknown
PayFit,Paris,HR,200,01-03-2023 00:00,https://www.lesechos.fr/start-up/next40-vivatech/payfit-se-separe-de-20-de-ses-effectifs-1910932,495,Series E,02-03-2023 04:17,France,0.2,Unknown
Yellow.ai,SF Bay Area,Support,200,01-03-2023 00:00,https://inc42.com/buzz/conversational-ai-startup-yellow-ai-fires-200-employees/,102,Series C,02-03-2023 04:12,United States,,Unknown
Sonder,SF Bay Area,Travel,100,01-03-2023 00:00,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001819395/000181939523000010/son-20230301.htm,839,Post-IPO,02-03-2023 04:16,United States,0.14,Unknown
Protego Trust Bank,Seattle,Crypto,,01-03-2023 00:00,https://www.coindesk.com/business/2023/03/01/crypto-bank-charter-firm-protego-trust-lays-off-most-of-its-workforce-source/,70,Series A,03-03-2023 23:16,United States,0.5,Unknown
Electronic Arts,Baton Rouge,Consumer,200,28-02-2023 00:00,https://kotaku.com/ea-apex-legends-bugs-layoffs-respawn-zoom-1850168472,2,Post-IPO,02-03-2023 04:10,United States,,Unknown
Eventbrite,SF Bay Area,Consumer,80,28-02-2023 00:00,https://www.reuters.com/markets/us/ticketing-service-provider-eventbrite-lay-off-8-workforce-2023-02-28/,557,Post-IPO,01-03-2023 00:59,United States,0.08,https://docs.google.com/spreadsheets/d/1HWHQissWfO_u0hDYgOv9OYCUDbpWImXTT0od04G2fJg/htmlview
DUX Education,Bengaluru,Education,,28-02-2023 00:00,https://inc42.com/buzz/edtech-startup-dux-education-to-cease-operations-by-april-2023/,,Unknown,03-03-2023 23:05,India,1,Unknown
MeridianLink,Los Angeles,Finance,,28-02-2023 00:00,https://www.marketscreener.com/quote/stock/MERIDIANLINK-INC-125185257/news/MeridianLink-A-Message-from-MeridianLink-CEO-Nicolaas-Vlok-43111536/,485,Post-IPO,01-03-2023 00:53,United States,0.09,Unknown
Sono Motors,Munich,Transportation,300,27-02-2023 00:00,https://twitter.com/sonomotors/status/1630246207137419264,126,Post-IPO,28-02-2023 05:02,Germany,,https://docs.google.com/spreadsheets/d/1l_rGoc_GegLiJ3mgkqM54VIkRvJV3KQA7SYtAWfb-jw/edit#gid=1208363482
Cerebral,SF Bay Area,Healthcare,285,27-02-2023 00:00,https://www.businessinsider.com/cerebral-cuts-15-percent-staff-285-employees-layoffs-february-2023-2,462,Series C,27-02-2023 23:41,United States,0.15,Unknown
Amount,Chicago,Finance,130,27-02-2023 00:00,https://www.chicagobusiness.com/finance-banking/fintech-amount-cuts-about-quarter-its-staff,283,Unknown,03-03-2023 23:03,United States,0.25,Unknown
Palantir,Denver,Data,75,27-02-2023 00:00,https://www.cnbc.com/2023/02/27/palantir-layoffs-75-employees-2percent-of-workforce.html,3000,Post-IPO,27-02-2023 23:40,United States,0.02,Unknown
Outreach,Seattle,Sales,70,27-02-2023 00:00,https://www.geekwire.com/2023/sales-startup-outreach-to-lay-off-70-employees-7-of-workforce-and-slow-office-expansion/,489,Series G,28-02-2023 18:44,United States,0.07,Unknown
Stytch,SF Bay Area,Security,19,27-02-2023 00:00,https://www.bizjournals.com/sanfrancisco/inno/stories/news/2023/02/27/s-f-startup-stytch-lays-off-25-of-staff.html,126,Series B,01-03-2023 00:51,United States,0.25,Unknown
BitSight,Tel Aviv,Security,40,26-02-2023 00:00,https://www.calcalistech.com/ctechnews/article/r1zxrmkri,401,Unknown,27-02-2023 17:26,Israel,,Unknown
Twitter,SF Bay Area,Consumer,200,25-02-2023 00:00,https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,12900,Post-IPO,26-02-2023 20:58,United States,0.1,Unknown
Ericsson,Stockholm,Other,8500,24-02-2023 00:00,https://www.reuters.com/business/media-telecom/ericsson-lay-off-8500-employees-memo-2023-02-24/,663,Post-IPO,24-02-2023 05:00,Sweden,0.08,Unknown
SAP Labs,Bengaluru,Other,300,24-02-2023 00:00,https://economictimes.indiatimes.com/tech/technology/sap-labs-lays-off-300-staffers-in-india/articleshow/98189199.cms,1300,Subsidiary,24-02-2023 23:40,India,,Unknown
Velodyne Lidar,SF Bay Area,Transportation,220,24-02-2023 00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,575,Acquired,24-02-2023 18:32,United States,,Unknown
Medallia,SF Bay Area,Support,59,24-02-2023 00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,325,Acquired,24-02-2023 18:30,United States,,Unknown
Eat Just,SF Bay Area,Food,40,24-02-2023 00:00,https://www.bloomberg.com/news/articles/2023-02-24/eat-just-to-cut-about-18-of-staff-in-plant-based-egg-division#xj4y7vzkg,465,Unknown,27-02-2023 17:24,United States,,Unknown
Lucira Health,SF Bay Area,Healthcare,26,24-02-2023 00:00,https://www.mercurynews.com/2023/02/24/tech-biotech-job-cut-san-jose-san-mateo-pleasanton-layoff-covid/,132,Post-IPO,24-02-2023 18:31,United States,,Unknown
Stax,Orlando,Finance,24,24-02-2023 00:00,https://www.bizjournals.com/orlando/inno/stories/news/2023/02/24/florida-2023-tech-jobs-layoffs-stax-technology.html,263,Series D,26-02-2023 02:05,United States,,Unknown
Poshmark,SF Bay Area,Retail,,24-02-2023 00:00,https://techcrunch.com/2023/02/24/poshmark-lays-off-employees-just-two-months-after-being-acquired-by-naver/amp/,153,Acquired,24-02-2023 16:03,United States,0.02,Unknown
Merative,Ann Arbor,Healthcare,200,23-02-2023 00:00,https://www.theregister.com/2023/02/23/merative_job_cuts_ibm_watson/,,Acquired,26-02-2023 21:23,United States,0.1,Unknown
OneFootball,Berlin,Marketing,150,23-02-2023 00:00,https://www.businessinsider.de/gruenderszene/business/massenentlassung-onefootball/,442,Series D,24-02-2023 16:02,Germany,0.32,Unknown
The Iconic,Sydney,Retail,69,23-02-2023 00:00,https://insideretail.com.au/business/the-iconic-culls-69-roles-as-it-morphs-from-marketplace-to-platform-202302,,Unknown,24-02-2023 05:09,Australia,0.06,Unknown
EVgo,Los Angeles,Transportation,40,23-02-2023 00:00,https://www.businesswire.com/news/home/20230223005797/en/EVgo-Inc.-Aligns-Organization-Around-Growing-Its-Charging-Network,400,Post-IPO,24-02-2023 05:10,United States,,Unknown
StrongDM,SF Bay Area,Infrastructure,40,23-02-2023 00:00,https://www.strongdm.com/blog/strongdm-company-update-letter-from-ceo-to-staff,76,Series B,23-02-2023 22:34,United States,,Unknown
Dapper Labs,Vancouver,Crypto,,23-02-2023 00:00,https://www.theblock.co/post/214755/dapper-labs-said-to-lay-off-20-more-of-its-full-time-employees,607,Series D,23-02-2023 22:37,United States,0.2,Unknown
Messari,New York City,Crypto,,23-02-2023 00:00,https://www.coindesk.com/business/2023/02/23/crypto-analytics-firm-messari-cuts-15-workforce-as-part-of-restructuring/,61,Series B,23-02-2023 22:36,United States,0.15,Unknown
Vibrent Health,Washington D.C.,Healthcare,,23-02-2023 00:00,https://www.bizjournals.com/washington/news/2023/02/23/fairfax-vibrent-health-tech-data-startup-layoffs.html,,Unknown,26-02-2023 02:08,United States,0.13,Unknown
Synamedia,London,Media,200,22-02-2023 00:00,https://www.calcalistech.com/ctechnews/article/hk2uvdqcs,,Unknown,27-02-2023 17:29,United Kingdom,0.12,Unknown
TaskUs,San Antonio,Support,186,22-02-2023 00:00,https://www.expressnews.com/business/article/taskus-layoff-186-employees-san-antonio-17798813.php,279,Post-IPO,23-02-2023 22:35,United States,,Unknown
Arch Oncology,St. Louis,Healthcare,,22-02-2023 00:00,https://www.bizjournals.com/stlouis/inno/stories/news/2023/02/22/arch-oncology-layoffs-leaves-cortex-office.html,155,Series C,23-02-2023 23:02,United States,,Unknown
Immutable,Sydney,Crypto,,22-02-2023 00:00,https://www.smh.com.au/technology/australia-s-biggest-crypto-gaming-start-up-slashes-staff-20230222-p5cmii.html,279,Series C,22-02-2023 15:18,Australia,0.11,Unknown
Jounce Therapeutics,Boston,Healthcare,,22-02-2023 00:00,https://www.globenewswire.com/news-release/2023/02/22/2613789/0/en/Jounce-Therapeutics-Announces-Restructuring.html,194,Acquired,26-02-2023 02:09,United States,0.57,Unknown
Locomation,Pittsburgh,Transportation,,22-02-2023 00:00,https://www.bizjournals.com/pittsburgh/news/2023/02/22/locomation-shutting-down-operations-out-of-fund.html,57,Seed,23-02-2023 00:24,United States,1,Unknown
Polygon,Bengaluru,Crypto,100,21-02-2023 00:00,https://inc42.com/buzz/polygon-lays-off-20-of-its-workforce-as-part-of-consolidation-process/,451,Unknown,21-02-2023 19:54,India,0.2,Unknown
Crunchyroll,Tokyo,Media,85,21-02-2023 00:00,https://www.animenewsnetwork.com/news/2023-02-21/crunchyroll-lays-off-approximately-85-employees-globally/.195161,26,Unknown,22-02-2023 15:16,Japan,,Unknown
Ethos Life,SF Bay Area,Finance,50,21-02-2023 00:00,https://www.coverager.com/ethos-conducts-another-round-of-layoffs/,406,Series D,24-02-2023 16:01,United States,,Unknown
Bolt,Lagos,Transportation,17,21-02-2023 00:00,https://techpoint.africa/2023/02/21/bolt-lays-off-17-of-its-70-workers-in-nigeria/,,Series F,22-02-2023 02:48,Nigeria,,Unknown
Criteo,Paris,Marketing,,21-02-2023 00:00,https://digiday.com/media-buying/criteo-adds-to-the-ongoing-wave-of-ad-tech-layoffs/,61,Post-IPO,21-02-2023 19:10,France,,Unknown
Green Labs,Seoul,Food,,21-02-2023 00:00,https://techcrunch.com/2023/02/21/agtech-startup-green-labs-is-the-latest-korean-startup-to-lay-off-employees/,214,Series C,21-02-2023 19:27,South Korea,,Unknown
PeerStreet,Los Angeles,Real Estate,,21-02-2023 00:00,https://www.bizjournals.com/triangle/inno/stories/news/2023/02/21/more-tech-layoffs-hit-north-carolina.html,121,Series C,22-02-2023 02:50,United States,,Unknown
Zalando,Berlin,Retail,,21-02-2023 00:00,https://www.reuters.com/business/retail-consumer/online-fashion-retailer-zalando-cutting-hundreds-jobs-2023-02-21/,467,Post-IPO,21-02-2023 19:12,Germany,,Unknown
MyGate,Bengaluru,Other,200,20-02-2023 00:00,https://inc42.com/buzz/bengaluru-based-mygate-lays-off-30-workforce-amid-funding-winter/,79,Series B,20-02-2023 18:16,India,0.3,Unknown
Fireblocks,New York City,Crypto,30,20-02-2023 00:00,https://www.calcalistech.com/ctechnews/article/rksbjrxro,1000,Series E,22-02-2023 02:47,United States,0.05,Unknown
Kinde,Sydney,Other,8,20-02-2023 00:00,https://www.news.com.au/finance/work/at-work/sydney-technology-company-kinde-lays-off-285-of-staff-as-focus-moves-to-product-team/news-story/618e97ecfe4b7e088a6ff39a70a78bcb,10,Seed,20-02-2023 04:15,Australia,0.28,Unknown
Fipola,Chennai,Food,,20-02-2023 00:00,https://www.medianews4u.com/meat-d2c-fipola-shuts-ops-liquidation-process-on-to-clear-dues-by-april-2023/,9,Series A,21-02-2023 06:04,United States,1,Unknown
HP,Tel Aviv,Hardware,100,19-02-2023 00:00,https://www.themarker.com/technation/2023-02-19/ty-article/.premium/00000186-692c-d22b-ad9e-7f6e08aa0000,4200,Post-IPO,20-02-2023 04:15,Israel,,Unknown
Tencent,Shenzen,Consumer,300,17-02-2023 00:00,https://brandequity.economictimes.indiatimes.com/news/digital/tencent-says-is-making-personnel-adjustments-after-report-of-layoffs/97998975,12600,Post-IPO,17-02-2023 17:26,China,,Unknown
Evernote,SF Bay Area,Consumer,129,17-02-2023 00:00,https://techcrunch.com/2023/02/27/bending-spoons-lays-off-129-evernote-staffers/,290,Acquired,27-02-2023 17:20,United States,,Unknown
Chipper Cash,SF Bay Area,Finance,100,17-02-2023 00:00,https://techweez.com/2023/02/18/chipper-cash-fires-a-third-of-its-workforce/,302,Series C,20-02-2023 18:18,United States,0.33,Unknown
Digimarc,Portland,Other,,17-02-2023 00:00,https://www.oregonlive.com/silicon-forest/2023/02/oregon-tech-company-digimarc-will-lay-off-17-of-its-workforce.html,105,Post-IPO,24-02-2023 05:05,United States,,Unknown
Reserve,SF Bay Area,Crypto,,17-02-2023 00:00,https://www.linkedin.com/posts/constanza-ag%C3%BCero-ingravidi_job-board-reserves-talent-activity-7030942387006750720-abHD/,,Unknown,03-03-2023 23:18,United States,,https://myreserve.notion.site/myreserve/Job-board-Reserve-s-talent-8a042fa4c8364012b4ebd9d1c4897e1c
DocuSign,SF Bay Area,Sales,680,16-02-2023 00:00,https://www.cnbc.com/2023/02/16/docusign-layoffs-company-to-cut-10percent-of-workforce.html,536,Post-IPO,16-02-2023 15:33,United States,0.1,Unknown
Pico Interactive,SF Bay Area,Other,400,16-02-2023 00:00,https://pandaily.com/pico-starts-small-scale-layoffs-new-products-to-be-unveiled-in-april/,62,Acquired,16-02-2023 15:56,United States,0.2,Unknown
The RealReal,SF Bay Area,Retail,230,16-02-2023 00:00,https://www.theinformation.com/briefings/the-realreal-to-cut-7-of-headcount-close-some-stores-and-offices,356,Post-IPO,16-02-2023 17:45,United States,0.07,Unknown
Smartsheet,Seattle,Other,85,16-02-2023 00:00,https://www.bizjournals.com/seattle/news/2023/02/16/smartsheet-lays-off-85-employees-globally.html,152,Post-IPO,17-02-2023 21:30,United States,0.03,Unknown
Convoy,Atlanta,Logistics,,16-02-2023 00:00,https://techcrunch.com/2023/02/16/trucking-app-convoy-layoffs-restructuring/,1100,Series E,16-02-2023 17:52,United States,,Unknown
Wix,Tel Aviv,Marketing,370,15-02-2023 00:00,https://www.calcalistech.com/ctechnews/article/s1lsqn5as,58,Post-IPO,15-02-2023 21:00,Israel,0.06,Unknown
ServiceTitan,Los Angeles,Sales,221,15-02-2023 00:00,https://www.theinformation.com/briefings/servicetitan-cuts-8-percent-of-workforce,1100,Series G,16-02-2023 17:44,United States,0.08,Unknown
